epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3791.75,1.47664,0.81524,1.02925,0.88785,0.82446,0.89288,0.5248,1.35174,0.69339,0.99331,0.00087724,0.00087724,0.00087724
126,3822.04,1.47811,0.82941,1.03201,0.89947,0.82929,0.8963,0.52676,1.34897,0.69097,0.99354,0.00087625,0.00087625,0.00087625
127,3852.39,1.48823,0.82472,1.02664,0.89366,0.82173,0.89023,0.50863,1.3943,0.71199,1.00027,0.00087526,0.00087526,0.00087526
128,3882.46,1.46221,0.79324,1.01552,0.89762,0.82839,0.89749,0.53295,1.34059,0.68001,0.9886,0.00087427,0.00087427,0.00087427
129,3912.77,1.45389,0.80075,1.00731,0.88778,0.8408,0.89748,0.52822,1.35465,0.67409,0.99284,0.00087328,0.00087328,0.00087328
130,3942.95,1.46808,0.79969,1.0175,0.89751,0.83443,0.89946,0.51614,1.39547,0.68686,0.9991,0.00087229,0.00087229,0.00087229
131,3973.06,1.48316,0.80517,1.01821,0.90259,0.83788,0.90579,0.53721,1.34259,0.67115,0.98778,0.0008713,0.0008713,0.0008713
132,4003.3,1.43437,0.78014,1.00276,0.88999,0.82712,0.89548,0.4947,1.49909,0.71402,1.02426,0.00087031,0.00087031,0.00087031
133,4033.4,1.46096,0.81311,1.01828,0.9001,0.83425,0.90322,0.5259,1.37949,0.68192,0.99465,0.00086932,0.00086932,0.00086932
134,4063.55,1.48038,0.7912,1.01788,0.89892,0.84068,0.90346,0.52612,1.34809,0.68106,0.98889,0.00086833,0.00086833,0.00086833
135,4093.65,1.43453,0.78588,1.00604,0.90738,0.84548,0.91202,0.54913,1.3231,0.65107,0.98298,0.00086734,0.00086734,0.00086734
136,4123.95,1.43697,0.7754,1.01094,0.90977,0.84418,0.9075,0.52553,1.37154,0.67689,0.98922,0.00086635,0.00086635,0.00086635
137,4154.03,1.44015,0.78618,1.00346,0.90085,0.84709,0.90644,0.54072,1.32547,0.65748,0.98287,0.00086536,0.00086536,0.00086536
